"happy","unit","province","age","gender","urban"
1,16,"江西",2,2,2
0,16,"江西",3,1,1
0,16,"江西",4,2,2
1,16,"江西",2,2,2
1,16,"江西",1,2,2
1,16,"江西",2,1,2
0,16,"江西",2,1,2
1,16,"江西",4,1,2
0,16,"江西",2,1,2
0,16,"江西",2,1,2
1,16,"江西",2,2,2
1,16,"江西",2,1,2
0,16,"江西",3,2,2
1,16,"江西",4,1,2
0,16,"江西",1,2,2
1,21,"山东",3,1,2
1,21,"山东",1,2,2
1,21,"山东",4,1,1
1,21,"山东",3,2,1
1,22,"山西",2,2,1
1,21,"山东",2,2,2
1,21,"山东",3,2,2
