"happy","unit","province","age","gender","urban"
0,11,"黑龙江",1,2,2
0,11,"黑龙江",2,1,1
0,11,"黑龙江",1,2,1
1,11,"黑龙江",4,1,2
1,11,"黑龙江",2,2,1
1,11,"黑龙江",3,2,1
1,11,"黑龙江",3,2,1
1,11,"黑龙江",2,1,1
1,11,"黑龙江",4,2,1
1,11,"黑龙江",1,2,1
1,11,"黑龙江",3,2,1
1,11,"黑龙江",4,1,1
1,11,"黑龙江",4,1,2
1,11,"黑龙江",3,1,2
0,11,"黑龙江",4,1,2
1,11,"黑龙江",3,2,1
0,11,"黑龙江",3,2,1
1,11,"黑龙江",2,2,1
1,11,"黑龙江",1,1,2
1,11,"黑龙江",2,2,2
1,11,"黑龙江",3,2,2
1,11,"黑龙江",1,1,2
1,11,"黑龙江",4,1,2
1,11,"黑龙江",1,1,2
0,11,"黑龙江",4,1,2
0,11,"黑龙江",3,1,2
1,11,"黑龙江",3,2,2
1,11,"黑龙江",4,1,1
1,11,"黑龙江",3,2,1
1,11,"黑龙江",4,2,2
1,11,"黑龙江",4,2,2
1,11,"黑龙江",1,1,2
1,11,"黑龙江",3,2,2
1,11,"黑龙江",4,2,2
1,11,"黑龙江",3,2,2
1,11,"黑龙江",4,2,2
1,11,"黑龙江",4,2,2
1,11,"黑龙江",3,1,2
0,11,"黑龙江",3,2,2
1,11,"黑龙江",2,2,2
1,24,"上海",4,1,1
1,24,"上海",2,1,1
1,24,"上海",4,1,1
1,15,"江苏",2,2,1
1,24,"上海",1,2,1
1,24,"上海",3,1,1
1,24,"上海",1,2,1
1,15,"江苏",4,2,2
0,24,"上海",3,2,1
0,30,"重庆",4,2,2
1,24,"上海",3,2,2
1,3,"福建",1,1,1
1,24,"上海",4,2,1
1,24,"上海",1,1,1
1,13,"湖南",4,2,2
1,24,"上海",3,2,2
0,17,"辽宁",1,1,1
1,24,"上海",2,2,1
1,29,"浙江",3,2,2
1,15,"江苏",3,2,2
1,24,"上海",3,2,1
1,24,"上海",1,2,1
1,13,"湖南",2,1,1
1,24,"上海",3,1,2
1,24,"上海",3,2,1
1,24,"上海",3,1,1
1,24,"上海",3,1,1
1,24,"上海",3,1,2
1,15,"江苏",4,2,1
1,24,"上海",4,2,2
1,24,"上海",3,2,1
1,1,"安徽",2,2,2
1,12,"湖北",2,1,2
1,24,"上海",4,2,1
1,24,"上海",1,2,1
1,24,"上海",4,2,2
1,24,"上海",3,2,1
1,24,"上海",1,2,1
0,24,"上海",4,2,1
0,1,"安徽",2,2,2
1,24,"上海",3,2,1
0,23,"陕西",2,1,1
1,24,"上海",4,1,1
1,24,"上海",4,2,1
1,25,"四川",3,2,1
1,24,"上海",4,1,1
1,13,"湖南",3,1,2
1,24,"上海",1,2,1
1,10,"河南",1,1,2
1,25,"四川",3,2,2
0,5,"广东",4,2,1
1,24,"上海",2,1,2
1,12,"湖北",4,2,1
1,24,"上海",1,1,1
1,24,"上海",3,2,1
1,24,"上海",4,2,1
1,15,"江苏",4,2,1
1,24,"上海",4,2,2
1,24,"上海",4,2,1
1,1,"安徽",2,2,1
1,10,"河南",2,2,2
1,24,"上海",4,2,1
1,24,"上海",3,1,1
1,24,"上海",2,2,1
1,24,"上海",4,2,1
1,13,"湖南",4,1,1
0,24,"上海",4,1,1
1,24,"上海",4,1,1
1,24,"上海",3,2,1
1,24,"上海",4,2,1
1,24,"上海",4,2,2
1,13,"湖南",4,2,1
0,24,"上海",2,2,1
1,24,"上海",3,1,2
1,24,"上海",2,1,1
1,24,"上海",3,1,1
0,21,"山东",2,1,2
1,21,"山东",4,1,1
1,21,"山东",2,2,1
1,24,"上海",1,2,1
1,24,"上海",4,2,1
1,1,"安徽",3,1,2
1,24,"上海",1,2,1
1,24,"上海",4,2,2
1,1,"安徽",3,1,2
1,15,"江苏",4,2,2
1,24,"上海",4,2,1
1,24,"上海",1,2,1
1,24,"上海",4,1,1
1,24,"上海",4,2,1
0,24,"上海",4,1,1
1,24,"上海",2,2,1
1,24,"上海",4,2,1
0,29,"浙江",1,1,1
1,25,"四川",2,1,2
1,24,"上海",4,2,1
1,24,"上海",4,2,2
1,24,"上海",3,1,1
1,24,"上海",3,2,2
0,24,"上海",4,2,1
0,24,"上海",1,2,1
1,24,"上海",2,1,1
1,16,"江西",3,1,1
1,24,"上海",4,1,1
1,24,"上海",3,1,1
1,24,"上海",3,2,1
1,15,"江苏",4,1,2
1,24,"上海",3,2,2
1,24,"上海",4,1,1
1,1,"安徽",2,1,2
1,24,"上海",4,1,1
0,24,"上海",4,1,1
1,11,"黑龙江",2,2,2
0,24,"上海",2,2,2
1,24,"上海",3,2,1
0,1,"安徽",3,2,2
1,24,"上海",4,2,1
0,13,"湖南",4,2,1
1,24,"上海",3,1,1
1,1,"安徽",3,2,1
1,24,"上海",2,2,1
1,24,"上海",4,1,1
1,22,"山西",3,2,1
1,15,"江苏",3,2,1
1,24,"上海",2,2,1
1,3,"福建",3,2,2
1,24,"上海",3,2,1
1,24,"上海",2,1,1
1,1,"安徽",1,1,1
0,24,"上海",3,2,1
1,28,"云南",2,1,1
1,24,"上海",4,1,1
1,24,"上海",4,2,1
0,24,"上海",3,1,1
1,10,"河南",2,2,2
0,24,"上海",4,1,2
1,24,"上海",3,2,2
1,24,"上海",4,2,1
1,24,"上海",2,2,1
1,1,"安徽",3,1,2
0,24,"上海",2,1,1
1,24,"上海",1,1,1
1,4,"甘肃",3,2,2
0,24,"上海",2,1,1
1,25,"四川",2,1,2
0,24,"上海",3,2,1
1,24,"上海",4,2,1
1,10,"河南",4,1,2
1,24,"上海",1,2,1
1,24,"上海",3,1,2
1,24,"上海",2,2,1
1,17,"辽宁",2,1,1
0,24,"上海",4,1,1
1,24,"上海",2,1,1
0,24,"上海",1,1,1
1,10,"河南",1,1,1
0,24,"上海",4,1,1
1,24,"上海",4,2,1
